session_id,fatigue_level,fatigue_label,pupil_mean,pupil_std,pupil_min,pupil_trend,blink_mean,blink_max,blink_volatility,saccade_mean,saccade_min,saccade_std,fixation_mean,fixation_max,fixation_std,gaze_dispersion_x,gaze_dispersion_y,gaze_path_length,blink_pupil_ratio,fixation_entropy
0,0,fresh,0.7138138126771804,0.03843360149419752,0.6272840602388426,-0.0006437373967535155,12.003270307413368,19.38972633745586,2.791616109604352,382.7574275911138,331.77550296316315,29.883095289474085,181.42035680676943,276.31828726636803,25.909028270535945,0.8355526678889964,0.45690792284151566,71.68132899395054,16.815664363134747,4.084492433798537
1,0,fresh,0.7251387562284333,0.04375776380186194,0.6382366510448009,-0.000833290094984542,11.983795244798497,21.236642425365712,3.4151556956784894,371.9796165858464,325.8535369800644,27.002985775210156,179.97912885121573,236.7673214451099,24.000574851887627,0.8930126452301143,0.5988473546237296,80.06013268715174,16.526187044450733,4.085416629485481
2,0,fresh,0.7197427262572963,0.04056582103088151,0.6489267674890141,-0.00020786118778627646,12.265112977167794,18.89669437085775,2.6306122838036465,389.45129333853214,334.527676550083,28.307690103695325,182.37013620254254,234.0813680826365,23.257654357938215,0.7921016895663411,0.6171258116995216,76.0541987569208,17.040944616422014,4.086260214645349
3,0,fresh,0.7311345969906775,0.0390345427878891,0.6198808159883052,-0.0004097298028345367,11.876106286649344,19.319257219017818,3.3875973950034224,380.9854829228454,320.1879307228563,30.599777594901752,181.03251120671706,242.32498793581976,22.69278769715891,0.8177369079395824,0.5802967959911877,74.61746756092224,16.243370361846534,4.086586615255645
4,0,fresh,0.7307990952536584,0.045046373586087846,0.6304192067535288,-0.0004107276522616092,12.0272466579144,17.653758917803827,2.980225353965912,376.22004410892146,292.3594854951618,32.29956499114015,185.77016274249593,244.73909105046533,23.825348459854638,0.6945717383444561,0.5938560448052721,69.65138190829835,16.457642433311097,4.086238060387292
5,0,fresh,0.7167860600507673,0.03828812465757102,0.6259120328466737,-0.00021323893839962087,11.955602212279086,18.6939004385779,2.847460625954456,383.00822419401374,291.7883409600716,33.972706295734646,178.89131436888866,248.99150097277692,25.753144832391182,0.6836185087281389,0.5626377026528052,61.02820928020503,16.67943365416267,4.083907077469632
6,0,fresh,0.721932937678788,0.04275922971819985,0.6425815248540435,-0.0005287546075975227,11.76534228401354,17.929321753546457,2.9881449840167478,386.8723322623982,328.2257981362821,28.17238761701185,174.5216334236653,218.3431927479125,23.495417132489056,0.6938423581319668,0.614615456628853,71.66007314942878,16.296979086261388,4.085375731228434
7,0,fresh,0.7239914749783839,0.04903357564620386,0.6018052067664285,-0.0007497714354796713,12.264179736065815,17.099872123729142,2.698335111665998,378.3685697160008,321.12122924982265,26.880625871342847,186.99452992647628,230.30676114251912,25.574688452117275,0.6897762600993228,0.5738747290217383,64.34035462140821,16.939650838818434,4.084941452241791
8,0,fresh,0.7206437693502598,0.04602372670743949,0.6183640500063582,-6.943369583219752e-05,12.0036041281145,19.235030026735263,3.0872319046571275,372.1972560904101,295.03533205668293,30.647749081472348,182.00833024598845,225.4515480639456,24.693702480119835,0.7282474618954998,0.6567219833748992,73.69981545849741,16.65675605879588,4.08511766487865
9,0,fresh,0.7237623818604854,0.046852958637036285,0.6054362383414741,-0.0009777806660340885,12.340277118176067,18.96012216605178,3.043922023715662,380.4352738871329,304.03261744340944,33.524341272565614,181.0744836394955,236.81086801117203,26.313610993483145,0.9099035465543128,0.653405622876261,86.47872836408679,17.050153997090188,4.083748248848074
